https://www.gunviolencearchive.org/,,,,,,
Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
12-Nov-16,Colorado,Grand Junction (Fruitvale),3060 Sandpiper Avenue,1,0,N/A
10-Nov-16,North Carolina,Bessemer City,200 block of New Moon Lane,0,1,N/A
10-Nov-16,Texas,Amarillo,4100 block of Brook Hollow,4,0,N/A
10-Nov-16,Wisconsin,Antigo,N/A,0,1,N/A
10-Nov-16,North Carolina,Charlotte,12th Street and College Street,0,1,N/A
8-Nov-16,Alabama,Birmingham (Hoover),3267 Warringwood Drive,0,1,N/A
8-Nov-16,Alabama,Phenix City,2504 Stadium Drive,0,3,N/A
7-Nov-16,Ohio,Columbus,Cleveland Ave and Blake Ave,0,1,N/A
6-Nov-16,Missouri,Kansas City,1700 block of Concord Court,0,2,N/A
6-Nov-16,North Dakota,Bismarck,4000 Block of Trenton Drive,0,1,N/A
6-Nov-16,Texas,Rio Grande City,Woods Brothers Rd and La Sagunada Rd,2,0,N/A
6-Nov-16,Connecticut,Hartford,247 Branford St,0,1,N/A
5-Nov-16,Texas,Killeen,4600 block of Golden Gate Drive,1,0,N/A
5-Nov-16,Maryland,Baltimore,2800 block of Keyworth Avenue,1,2,N/A
5-Nov-16,Indiana,Gary,500 block of West 39th Avenue,1,0,N/A
5-Nov-16,Massachusetts,Brockton,Bartlett and Fuller,0,1,N/A
5-Nov-16,Missouri,Saint Louis,806 Cliff Cave Rd,3,0,N/A
5-Nov-16,Texas,Fort Worth,4332 East Berry Street,0,1,N/A
5-Nov-16,North Carolina,Gastonia,1657 Quail Woods Rd,0,3,N/A
5-Nov-16,Louisiana,New Orleans,1400 block of Independence Street.,0,1,N/A
4-Nov-16,Kansas,Kansas City,7569 State Avenue,1,0,N/A
4-Nov-16,Pennsylvania,Chester,600 block of Central Avenue,0,2,N/A
3-Nov-16,New Jersey,Orange,234 Cleveland Street,2,2,N/A
2-Nov-16,Oklahoma,Oklahoma City (Del City),2300 block of Mansfield Ave,0,1,N/A
31-Oct-16,Michigan,Clare,503 Schoolcrest Avenue,0,2,N/A
31-Oct-16,Oregon,Sweet Home,1500 block of 47th Ave,0,2,N/A
31-Oct-16,Ohio,Cleveland,1700 block Harvard Ave,0,2,N/A
30-Oct-16,Texas,San Antonio,2900 block of Aspen Meadow,0,5,N/A
29-Oct-16,Ohio,Toledo,123 Rockingham Street,1,0,N/A
29-Oct-16,North Carolina,Lincolnton,3346 Loop Rd,0,1,N/A
28-Oct-16,North Carolina,Southern Pines,714 West Michigan Avenue,1,1,N/A
28-Oct-16,Alabama,Birmingham,4700 block of Second Ave S,0,1,N/A
27-Oct-16,Missouri,Kansas City,18th and Topping,1,0,N/A
27-Oct-16,North Carolina,Shelby,600 block of Whisenant Street,2,1,N/A
25-Oct-16,Ohio,Columbus,4600 block of Parkwick Drive,1,3,N/A
23-Oct-16,Ohio,Columbus,560 Columbian Avenue,0,1,N/A
23-Oct-16,Louisiana,New Orleans,1400 block of Alabo Street,0,1,N/A
22-Oct-16,Ohio,Cincinnati (Price Hill),4700 block of Guerley Road,0,1,N/A
22-Oct-16,Georgia,Jonesboro,24 Libby Lane,2,0,N/A
21-Oct-16,Pennsylvania,Pittsburgh,2400 block of Bedford Avenue,0,1,N/A
21-Oct-16,Pennsylvania,Mc Kees Rocks (Mckees Rocks),700 block of Russellwood Ave,1,1,N/A
20-Oct-16,Florida,Ochopee,54000 block of US-41,3,0,N/A
20-Oct-16,Louisiana,New Orleans,6101 Tullis Drive,1,2,N/A
20-Oct-16,California,Stockton,8926 Ledgewood Avenue,1,0,N/A
19-Oct-16,New York,Bronx,1260 Franklin Avenue,0,1,N/A
19-Oct-16,Florida,Miami,1298 Northeast 128th Street,0,3,N/A
19-Oct-16,California,Santa Ana,500 block of South Pacific Avenue,0,1,N/A
19-Oct-16,California,Fresno,1400 block of East Duff Avenue,0,1,N/A
19-Oct-16,Ohio,Cable,3140 Chatfield Road,1,0,N/A
19-Oct-16,California,Reedley,1400 block of East Duff Avenue,0,1,N/A
17-Oct-16,Indiana,Elkhart,311 East Carlton Avenue,0,2,N/A
17-Oct-16,California,Fresno,4136 North Thesta Street,0,1,N/A
16-Oct-16,California,Suisun City,1000 block of Canary Court,0,1,N/A
16-Oct-16,Texas,San Angelo,"1,000 block of FM 2105",1,0,N/A
16-Oct-16,Arizona,Tolleson,S 91st Ave and W Broadway Rd,3,0,N/A
16-Oct-16,Nevada,Las Vegas,4200 block of Studio Street,0,1,N/A
15-Oct-16,Massachusetts,Boston,10 Winslow Street,0,1,N/A
15-Oct-16,Virginia,Richmond,Redd St and Coalter St,0,2,N/A
15-Oct-16,Connecticut,Enfield,Ecology Drive,0,1,N/A
14-Oct-16,Georgia,Albany,300 block of Vintage Road,0,1,N/A
13-Oct-16,Illinois,Waukegan,1100 block of Greenfield Avenue,1,0,N/A
13-Oct-16,California,Tulare,22400 block of Road 130,3,0,N/A
13-Oct-16,Texas,Dallas,2302 South Second Avenue,0,1,N/A
13-Oct-16,Michigan,Twin Lake,300 block of East Calumet,0,1,N/A
12-Oct-16,Ohio,Cleveland,5902 Storer Ave,0,4,N/A
9-Oct-16,Arkansas,Eudora,240 South Mabry Street,1,2,N/A
9-Oct-16,Massachusetts,Boston,Annunciation Road,0,1,N/A
9-Oct-16,Minnesota,Minneapolis,26th Street East and 11th Avenue South,2,0,N/A
9-Oct-16,North Carolina,Winston Salem (Winston-salem),669 Harvey Teague Rd,2,0,N/A
8-Oct-16,California,Petaluma,Reynolds Drive,0,1,N/A
7-Oct-16,Indiana,Fort Wayne,Chadwick Drive and Richfield Lane,0,1,N/A
5-Oct-16,Georgia,Savannah,West 50th Street,1,0,N/A
5-Oct-16,Louisiana,New Orleans,1400 block of Monroe Street,0,1,N/A
5-Oct-16,Oregon,Beaverton,12015 Southwest Walden Lane,3,0,N/A
5-Oct-16,Alaska,Anchorage,4300 block of San Roberto Avenue,0,1,N/A
4-Oct-16,Ohio,Cleveland,7300 block of Dudley Avenue,0,2,N/A
4-Oct-16,Missouri,Kansas City,415 Denver Avenue,0,1,N/A
4-Oct-16,Virginia,Altavista,4873 Marysville Rd,0,1,N/A
4-Oct-16,Mississippi,Canton,619 Martin Luther King Dr N,0,1,N/A
3-Oct-16,Texas,Fort Worth,1416 Meadowlane Terrace,0,1,N/A
3-Oct-16,Florida,Jacksonville,7915 Baymeadows Circle East,0,1,N/A
2-Oct-16,Pennsylvania,Indiana,Airport Road,0,1,N/A
2-Oct-16,Tennessee,Memphis,Range Line Road,0,1,N/A
1-Oct-16,Texas,Kerrville,W Schreiner St and Paschal Ave,0,1,N/A
1-Oct-16,Georgia,Mcdonough,961 King Mill Road,1,0,N/A
1-Oct-16,South Carolina,Conway (Bucksport),8390 Martin Luther Dr,4,0,N/A
30-Sep-16,Minnesota,Minneapolis,5400 block of 34th Avenue South,3,1,N/A
30-Sep-16,Wisconsin,Milwaukee,2100 block of North 15th Street,1,0,N/A
29-Sep-16,Missouri,Saint Joseph,3400 block of South 16th Street,0,1,N/A
28-Sep-16,Arizona,Avondale,525 E Harrison Dr,1,0,N/A
28-Sep-16,South Carolina,Townville,105 Townville School Road,2,2,N/A
27-Sep-16,Alabama,Montgomery,25 Garden St,0,1,N/A
27-Sep-16,Georgia,Savannah,Fahm and Zubley Street,0,2,N/A
27-Sep-16,Indiana,Etna Green,9900-block of West C.R. 575 North,0,1,N/A
26-Sep-16,Texas,Humble,21219 Grand Linden Ct,0,4,N/A
25-Sep-16,California,Stockton,1100 block of South Commerce Street,1,0,N/A
25-Sep-16,Mississippi,Mccomb,Highway 98 East,0,1,N/A
25-Sep-16,Louisiana,Harvey,Destrehan Avenue and River Road,0,1,N/A
25-Sep-16,Alabama,Birmingham,3100 block of Avenue Q,1,0,N/A
24-Sep-16,Maryland,Baltimore,Greenmount Ave and Preston St,0,8,N/A
24-Sep-16,Louisiana,New Orleans,2100 block of Arts Street,0,3,N/A
21-Sep-16,Wisconsin,Milwaukee,2700 block of N. 20th Street,0,1,N/A
18-Sep-16,Florida,West Palm Beach,1200 block of W 32nd St,1,0,N/A
18-Sep-16,Florida,Tampa,6727 S. Lois Ave.,1,0,N/A
17-Sep-16,Illinois,Aurora,Route 56 and Interstate 88,0,2,N/A
17-Sep-16,District of Columbia,Washington,2600 block of Birney Place SE,2,7,N/A
16-Sep-16,Texas,Dallas,9700 block of West Ferris Branch Boulevard,0,2,N/A
16-Sep-16,California,Richmond,200 MacDonald Ave,0,2,N/A
16-Sep-16,Alabama,Auburn,533 Willis Turk Road,0,1,N/A
15-Sep-16,Texas,Amarillo,2714 Southwest 34th Avenue,0,1,N/A
15-Sep-16,Texas,Katy,5400 block of Plantation Forest Dr,2,0,N/A
13-Sep-16,Louisiana,Gretna (Terrytown),2148 Esplanade Place,0,1,N/A
12-Sep-16,Texas,Fort Worth,1200 block of Susan Avenue,0,1,N/A
12-Sep-16,Pennsylvania,Quakertown,2100 block of Kumry Road,1,0,N/A
11-Sep-16,Georgia,Decatur,3569 Larkspur Terrace,0,1,N/A
11-Sep-16,Wisconsin,Milwaukee (Glendale),I-43 and Capitol Dr,0,1,N/A
11-Sep-16,Kentucky,Louisville,1600 block of Brashear Drive,1,0,N/A
10-Sep-16,Ohio,Dayton,West Riverview Avenue and Catalpa Drive,0,1,N/A
10-Sep-16,Texas,Bastrop,600 block of Oak Hill Cemetery Road,3,0,N/A
10-Sep-16,Missouri,Saint Louis,2800 block of Stoddard St,0,1,N/A
7-Sep-16,Missouri,Saint Louis,St Louis Ave and Goodfellow Blvd,0,1,N/A
7-Sep-16,Virginia,Hampton,2002 Seldendale Dr,0,1,N/A
6-Sep-16,Texas,Terrell,200 Bowser Cir,0,1,N/A
6-Sep-16,Mississippi,Tupelo,County Roads 1680 and 3571,0,2,N/A
6-Sep-16,Tennessee,Louisville,161 Manor Way,0,1,N/A
5-Sep-16,Oklahoma,Enid,300 block of South Seventh Street,0,1,N/A
5-Sep-16,Utah,Logan,454 N 400 E,0,1,N/A
3-Sep-16,Connecticut,Bridgeport,Anson and Salem Street,0,3,N/A
3-Sep-16,Maryland,Baltimore,900 block of McAleer Court,0,3,N/A
2-Sep-16,Florida,Pensacola,700 Truman Avenue,0,1,N/A
1-Sep-16,Illinois,Rockford,3100 block of Prial Avenue,0,1,N/A
1-Sep-16,South Carolina,Columbia,228 Meredith Square,1,2,N/A
1-Sep-16,Illinois,Chicago,4100 block of West Potomac,0,3,N/A
31-Aug-16,Texas,San Antonio,2700 block of East Houston Street,0,2,N/A
31-Aug-16,Massachusetts,Abington,159 Linwood Street,0,1,N/A
31-Aug-16,Ohio,Urbana,Dewey Avenue,0,1,N/A
31-Aug-16,Arizona,Phoenix,4013 W Yucca St,0,1,N/A
30-Aug-16,New York,Johnson City,7 North Broad Street,0,1,N/A
30-Aug-16,Georgia,Atlanta,400 Merritts Avenue NE,0,4,N/A
30-Aug-16,Tennessee,Nashville,644 Glastonbury Rd,0,1,N/A
29-Aug-16,Virginia,Newport News,3000 block of Williams St,0,1,N/A
28-Aug-16,Georgia,Atlanta,900 New Town Cir SE,0,3,N/A
28-Aug-16,New Mexico,Albuquerque,2600 Americare Ct NW,3,0,N/A
28-Aug-16,Nevada,Las Vegas,4800 block of White Aspen Ave,0,1,N/A
28-Aug-16,Florida,Port Richey,7300 block of Westcott Dr,0,1,N/A
28-Aug-16,Florida,Miami,NW 25th Ave and 102nd St,1,1,N/A
27-Aug-16,Alabama,Bessemer (Brighton),3810 7th Ave,1,6,N/A
27-Aug-16,Louisiana,New Orleans,4500 block of Shalimar Dr,0,2,N/A
26-Aug-16,South Carolina,North Augusta,600 block of Hutchinson Drive,0,1,N/A
25-Aug-16,Ohio,Cleveland,East 69th Street and Union Avenue,0,1,N/A
25-Aug-16,New York,Buffalo,South Division Street,0,1,N/A
25-Aug-16,Tennessee,Parrottsville,1496 Shenandoah Way,1,0,N/A
25-Aug-16,Kansas,Lawrence,500 block of Wisconsin Street,0,1,N/A
24-Aug-16,New Jersey,Camden,900 block of South 8th Street,1,0,N/A
24-Aug-16,Texas,Beaumont,2674 Magnolia Avenue,0,1,N/A
22-Aug-16,Pennsylvania,Chester,1200 block of W 9th,0,1,N/A
21-Aug-16,Georgia,Brunswick,3901 US 17,2,1,N/A
21-Aug-16,Illinois,Chicago,1600 block of North Major Avenue,0,2,N/A
20-Aug-16,South Carolina,Columbia,2400 block of McKinley Road,0,1,N/A
20-Aug-16,New Jersey,Burlington,York St and E Federal St,1,1,N/A
20-Aug-16,North Carolina,Durham,600 block of Reservoir Street,0,3,N/A
18-Aug-16,Missouri,Kansas City,2600 East Gregory Boulevard,1,3,N/A
18-Aug-16,Illinois,Peoria,1300 block of South Arago Street,0,2,N/A
18-Aug-16,Montana,Belgrade,1005 Cardinal Dr,1,0,N/A
18-Aug-16,Illinois,Harvey,100 block of East 146th Street,0,1,N/A
16-Aug-16,California,Bakersfield,300 block of Donna Avenue,0,3,N/A
16-Aug-16,Michigan,Detroit,3600 block of Fairview,0,1,N/A
15-Aug-16,Mississippi,Byhalia,95 Rebecca Drive,1,0,N/A
14-Aug-16,Nebraska,Omaha,34th and Meredith,0,1,N/A
14-Aug-16,Florida,Palm Beach Gardens (Riviera Beach),4250 Leo Lane,2,0,N/A
14-Aug-16,Illinois,Chicago,12000 block of South Perry Avenue,0,1,N/A
14-Aug-16,Louisiana,Prairieville (Galvez),Oak Trace Road,3,0,N/A
14-Aug-16,Iowa,Garner,2194 Sioux Ave,1,0,N/A
14-Aug-16,Texas,Dallas,Ramona Avenue and East Ledbetter Drive,0,1,N/A
13-Aug-16,Missouri,Kansas City,5700 block of College Avenue,2,1,N/A
13-Aug-16,Virginia,Danville,800 block of Edmonds Street,1,0,N/A
11-Aug-16,Pennsylvania,Philadelphia,500 block of E Ashmead St,0,4,N/A
11-Aug-16,Kentucky,Louisville,1200 block of Brashear Dr,0,1,N/A
11-Aug-16,Illinois,Chicago,6800 block of South Calumet,1,1,N/A
10-Aug-16,California,San Francisco,Whitney Young Circle and Hudson Avenue,0,1,N/A
10-Aug-16,Tennessee,Chattanooga,200 block of Water Street,0,1,N/A
9-Aug-16,Pennsylvania,Philadelphia,6300 block of Woodstock Street,0,1,N/A
9-Aug-16,South Carolina,Columbia,3619 Falling Springs Road,0,1,N/A
8-Aug-16,North Carolina,Roanoke Rapids,1800 block of Roanoke Avenue,0,1,N/A
8-Aug-16,Tennessee,Hendersonville,118 Shady View Drive,1,0,N/A
8-Aug-16,New Jersey,Burlington,15 Sunflower Circle,3,0,N/A
8-Aug-16,Illinois,Chicago,3900 block of West Polk Street,0,1,N/A
8-Aug-16,Texas,Houston,16800 block of Ella Boulevard,0,1,N/A
8-Aug-16,Virginia,Newport News,700 block of 35th Street,0,2,N/A
7-Aug-16,South Carolina,Charleston,Lyttleton Avenue,1,1,N/A
6-Aug-16,Pennsylvania,York,250 South Penn Street,0,1,N/A
6-Aug-16,Tennessee,Memphis,West Essex Avenue,0,1,N/A
6-Aug-16,California,Long Beach,9th and Locust,2,0,N/A
6-Aug-16,Idaho,Weiser,Macomb Road,1,0,N/A
6-Aug-16,Pennsylvania,Reading (Sinking Spring),51 Winding Brook Drive,5,0,N/A
3-Aug-16,Arkansas,Lonoke,100 block of Highridge Drive,0,1,N/A
3-Aug-16,Maryland,Hyattsville (Landover),6900 block of Forrest Terrace Drive,1,0,N/A
2-Aug-16,South Carolina,Coward,4312 Circle Drive,1,1,N/A
2-Aug-16,Louisiana,Marrero,2000 block of Fernando Court,1,0,N/A
1-Aug-16,South Carolina,Greenville,Hillside Circle,0,1,N/A
1-Aug-16,Florida,Miami,Southwest 173rd Street and 103rd Avenue,0,1,N/A
1-Aug-16,Maryland,Randallstown,1 block of Sulky Court,1,1,N/A
31-Jul-16,Pennsylvania,Philadelphia,1300 block of E. Rittenhouse Street,0,1,N/A
31-Jul-16,Louisiana,Thibodaux,900 block of Burma Road,2,0,N/A
31-Jul-16,Alabama,Birmingham (Homewood),1301 Lakeshore Dr.,1,0,N/A
31-Jul-16,Texas,Houston,300 block of De Haven St,1,0,N/A
30-Jul-16,District of Columbia,Washington,"2500 block of Pomeroy Road, SE",0,1,N/A
30-Jul-16,Mississippi,Bay Saint Louis,800 block of Louis Piernas Drive,2,1,N/A
29-Jul-16,Wyoming,Cody,1192 Sheridan Avenue,0,3,N/A
29-Jul-16,Texas,Conroe,15596 N Fwy Service Road,2,0,N/A
29-Jul-16,Michigan,Flint,2310 Martin Luther King Avenue,0,1,N/A
28-Jul-16,Pennsylvania,Philadelphia,3100 block of North Rosewood Street,0,1,N/A
28-Jul-16,Ohio,Cleveland,3300 block of Seymour Avenue,0,1,N/A
28-Jul-16,Missouri,Kansas City,2500 block of Independence Ave,1,1,N/A
28-Jul-16,Texas,Alvin,4000 block of East Texas 6,0,1,N/A
27-Jul-16,Florida,Fort Lauderdale (Dania Beach),W Dania Beach Blvd and SW 8th Ave,2,1,N/A
27-Jul-16,Florida,Gainesville,820 Northwest 4th Place,1,2,N/A
27-Jul-16,Virginia,Fairfax,Fairfax Hunt Road,2,0,N/A
26-Jul-16,Texas,Waco,1700 block of Dallas St.,0,2,N/A
26-Jul-16,California,Sacramento,Fruitridge Road and Lawrence Drive,0,1,N/A
26-Jul-16,Utah,Salt Lake City,561 N. Center Street,2,0,N/A
26-Jul-16,Texas,Houston,9700 block of Shady Tree Ln,1,0,N/A
25-Jul-16,New York,Dunkirk,544 South Roberts Road,0,1,N/A
25-Jul-16,Missouri,Ava,507 Northeast 3rd Street,1,1,N/A
24-Jul-16,Mississippi,Meridian,107 71st Pl,0,1,N/A
23-Jul-16,Michigan,Muskegon (Muskegon Heights),2500 block of Reynolds Street,0,1,N/A
23-Jul-16,Florida,Miami,3600 block of Northwest Second Street,2,1,N/A
23-Jul-16,Texas,Bastrop,202 Childers Drive,4,1,N/A
22-Jul-16,California,Fresno,East Saginaw Way and North Thorne Avenue,0,1,N/A
20-Jul-16,Georgia,Jones (county),113 Horseshoe Bend Court,1,0,N/A
20-Jul-16,Texas,Texas City,N/A,0,1,N/A
19-Jul-16,Illinois,Chicago (Englewood),6000 block of South Paulina Road,0,1,N/A
18-Jul-16,South Carolina,Gaston,2400 block of Glenn Road,1,0,N/A
18-Jul-16,North Carolina,Wilmington,Seventh and Queen Streets,0,2,N/A
17-Jul-16,Ohio,Columbus,2600 block of Kenview Road South,1,1,N/A
17-Jul-16,Louisiana,Sulphur,Dahlia Lane,2,0,N/A
17-Jul-16,Pennsylvania,Knoxville,Grimes Ave and Zara St,1,0,N/A
17-Jul-16,Michigan,Detroit,6000 block of Crane Street,0,1,N/A
17-Jul-16,South Carolina,Darlington,N/A,2,0,N/A
16-Jul-16,New York,Yonkers,175 Willow Street,0,2,N/A
16-Jul-16,Ohio,Cincinnati,6200 block of Chandler Street,1,0,N/A
16-Jul-16,Texas,Lubbock,2100 block of E 30th Street,0,3,N/A
15-Jul-16,Ohio,Cleveland,4100 block of East 146th Street,0,1,N/A
15-Jul-16,Florida,Port Orange,829 Hudson Lane,1,0,N/A
14-Jul-16,Alabama,Leighton,1500 block of Hwy 157,1,0,N/A
14-Jul-16,North Carolina,Durham,800 block of Underwood Avenue,0,1,N/A
14-Jul-16,Colorado,Steamboat Springs,N/A,1,0,N/A
14-Jul-16,Texas,Tahoka,County Road Q,3,0,N/A
13-Jul-16,Ohio,Cincinnati,5300 block of Whetsel Avenue,0,2,N/A
11-Jul-16,Washington,Seattle,7060 E Marginal Way S,0,1,N/A
11-Jul-16,Texas,Marion (county),Monica Drive,1,0,N/A
11-Jul-16,Kansas,Wichita,Harry and Volutsia,0,3,N/A
10-Jul-16,Florida,Panama City,1722 West 17th Street,0,1,N/A
10-Jul-16,North Carolina,Greenville,503-B Battle Street,0,1,N/A
8-Jul-16,California,San Bernardino,2950 Del Rosa Avenue,3,0,N/A
8-Jul-16,Virginia,Norfolk,Holt Street,0,1,N/A
8-Jul-16,Arkansas,Beebe,300 block of Spring Street,1,0,N/A
8-Jul-16,Minnesota,Minneapolis,Lowry Avenue N. and Penn Avenue N.,1,1,N/A
7-Jul-16,Virginia,Norfolk,1100 block of Holt Street,0,1,N/A
6-Jul-16,Illinois,Chicago (Englewood),5700 block of South Morgan,0,1,N/A
6-Jul-16,North Carolina,Fayetteville,3400 block of Cumberland Road,2,1,N/A
5-Jul-16,Michigan,Detroit,12800 block of Harper,0,1,N/A
5-Jul-16,California,Altadena,300 block of Figueroa Drive,1,1,N/A
4-Jul-16,Oklahoma,Tulsa,1875 S. Boulder Ave,0,2,N/A
4-Jul-16,Michigan,Detroit,12800 block of Harper Ave,0,1,N/A
4-Jul-16,Illinois,Chicago (Englewood),5500 block of South Hermitage Avenue,0,4,N/A
4-Jul-16,Ohio,Cleveland,1400 block of W. 107 Street,0,4,N/A
4-Jul-16,Illinois,Chicago,2000 block of South Western Avenue,0,1,N/A
4-Jul-16,Texas,Houston,1300 block of Robin,3,2,N/A
4-Jul-16,Michigan,Detroit,N/A,0,1,N/A
4-Jul-16,Arizona,Phoenix,4000 block of West Southern Avenue,2,6,N/A
3-Jul-16,Kentucky,Lowmansville,July Drive,1,0,N/A
3-Jul-16,Tennessee,Chattanooga,2300 block of Daisy Street,0,4,N/A
2-Jul-16,Indiana,Indianapolis,2300 block of Magnolia Place,2,1,N/A
2-Jul-16,Illinois,Hazel Crest,2400 block of Crescent Drive,3,0,N/A
2-Jul-16,California,Lemoore,800 block of Dogwood Avenue,1,0,N/A
1-Jul-16,Tennessee,Clarksville,874 Samantha Lane,1,0,N/A
1-Jul-16,Missouri,Saint Louis,4700 block of Kossuth Ave,0,2,N/A
30-Jun-16,Michigan,Grand Rapids,Houseman Ave NE & Leonard St NE,0,2,N/A
29-Jun-16,Wisconsin,Milwaukee,3800 block of W. Fairmount Ave.,0,2,N/A
